,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,zpid,bathrooms,livingArea
23,SINGLE_FAMILY,0.14400000000000002,27591,537081,2.0,-78.42377,35.757607,336868871,2.0,2037.0
24,LOT,1.6199954086318,27592,640000,,-78.69024,35.539482,336869648,,
25,SINGLE_FAMILY,0.16,27539,425000,4.0,-78.82793,35.68371,50109619,3.0,1840.0
26,SINGLE_FAMILY,0.47,27529,360000,3.0,-78.60725,35.620716,50119555,2.0,1659.0
27,SINGLE_FAMILY,0.5,27587,755000,4.0,-78.540695,36.00368,50119796,4.0,3586.0
28,SINGLE_FAMILY,0.28,27502,540000,4.0,-78.898445,35.72082,50119998,3.0,1889.0
29,TOWNHOUSE,0.05,27613,377500,3.0,-78.73523,35.90036,50120511,3.0,1824.0
30,SINGLE_FAMILY,0.5,27519,1040000,4.0,-78.88032,35.796604,50121801,4.0,3674.0
31,TOWNHOUSE,0.04,27615,315500,2.0,-78.59154,35.889416,53456696,2.0,1197.0
32,SINGLE_FAMILY,0.3,27540,355000,3.0,-78.821304,35.6325,60393302,2.0,1265.0
33,SINGLE_FAMILY,0.2,27616,380000,3.0,-78.511055,35.88066,60398593,3.0,1416.0
34,SINGLE_FAMILY,0.43,27540,800000,4.0,-78.816734,35.661472,60531261,4.0,3472.0
35,SINGLE_FAMILY,0.19,27610,337000,4.0,-78.563095,35.72948,60536740,3.0,1542.0
36,TOWNHOUSE,0.02,27610,220500,3.0,-78.5613,35.750515,60537531,3.0,1189.0
37,SINGLE_FAMILY,1.1,27526,280000,2.0,-78.80665,35.56236,6376519,2.0,1264.0
38,SINGLE_FAMILY,0.62,27608,905000,4.0,-78.62957,35.80903,6391940,3.0,2656.0
39,LOT,11.5,27545,600000,,-78.47939,35.81749,6401776,,
0,SINGLE_FAMILY,0.28,27529,349000,3.0,-78.60123,35.68022,6475560,3.0,1578.0
1,SINGLE_FAMILY,1.29,27539,425000,3.0,-78.74156,35.662148,6486866,3.0,1900.0
2,SINGLE_FAMILY,1.1799816345271,27501,215000,3.0,-78.75012,35.53342,6494620,2.5,1560.0
3,SINGLE_FAMILY,0.11999540863177227,27610,180000,3.0,-78.58727,35.76983,6503026,2.5,1480.0
4,SINGLE_FAMILY,0.13,27616,250000,3.0,-78.55844,35.886684,6504060,2.0,1160.0
5,TOWNHOUSE,0.06,27587,300750,3.0,-78.52498,35.990883,6505497,3.0,1340.0
6,SINGLE_FAMILY,0.16999540863177226,27616,290000,,-78.566315,35.852386,6509663,2.0,1764.0
7,SINGLE_FAMILY,0.56,27587,686000,3.0,-78.551704,35.970146,6510268,3.0,2702.0
8,SINGLE_FAMILY,0.19,27513,485000,3.0,-78.78972,35.816204,6513803,3.0,1629.0
9,SINGLE_FAMILY,0.17998163452708907,27613,490000,3.0,-78.75085,35.925007,6515009,2.5,2007.0
10,SINGLE_FAMILY,0.97,27540,750000,3.0,-78.8065,35.642895,6519731,4.0,3658.0
11,SINGLE_FAMILY,0.28,27518,800000,4.0,-78.77807,35.714195,6524508,3.0,3407.0
12,SINGLE_FAMILY,0.24,27518,565000,3.0,-78.78939,35.70926,6524764,3.0,2278.0
13,SINGLE_FAMILY,0.16,27545,331000,3.0,-78.46354,35.76561,6525475,2.0,1229.0
14,SINGLE_FAMILY,0.3,27513,915000,4.0,-78.84515,35.803642,6532172,4.0,3406.0
15,SINGLE_FAMILY,0.28,27616,370000,3.0,-78.5178,35.884212,6532931,3.0,1608.0
16,SINGLE_FAMILY,0.32,27502,885000,5.0,-78.85763,35.744976,65330818,3.0,4745.0
17,SINGLE_FAMILY,0.22999999999999998,27616,530000,4.0,-78.514275,35.877674,65333739,3.0,2714.0
18,SINGLE_FAMILY,0.37,27587,555555,4.0,-78.517265,35.97368,65334388,3.0,2456.0
19,TOWNHOUSE,0.05,27502,365000,3.0,-78.8753,35.727566,65339237,3.0,1476.0
20,TOWNHOUSE,0.02,27613,320000,3.0,-78.735435,35.885033,65339727,3.0,1412.0
21,SINGLE_FAMILY,0.27998163452709,27613,900000,,-78.73173,35.899887,6546411,2.5,2678.0
22,SINGLE_FAMILY,0.16999999999999998,27545,321000,3.0,-78.47148,35.76552,6557526,2.0,1240.0
23,TOWNHOUSE,0.03,27545,295500,3.0,-78.51511,35.77635,67554664,3.0,1413.0
24,SINGLE_FAMILY,0.2,27502,600000,3.0,-78.86865,35.726326,67556863,3.0,2106.0
25,SINGLE_FAMILY,0.72,27526,470000,3.0,-78.75087,35.56442,67558681,3.0,2409.0
26,TOWNHOUSE,0.05,27613,425300,3.0,-78.73442,35.888424,67558847,3.0,1754.0
27,SINGLE_FAMILY,0.89,27603,900000,4.0,-78.70759,35.66597,68317586,4.0,4025.0
28,SINGLE_FAMILY,0.9,27603,675000,3.0,-78.67908,35.617996,69564748,3.0,3196.0
29,TOWNHOUSE,0.05,27616,315000,3.0,-78.55099,35.89921,69566683,3.0,1510.0
30,SINGLE_FAMILY,0.18,27610,361000,3.0,-78.58612,35.738937,71205682,3.0,1627.0
31,SINGLE_FAMILY,0.42,27571,655000,5.0,-78.45542,35.92825,80198178,4.0,3615.0
32,SINGLE_FAMILY,0.16,27614,475000,4.0,-78.556145,35.966125,81436757,3.0,2538.0
33,SINGLE_FAMILY,0.19,27587,485000,4.0,-78.47414,35.963066,82672052,3.0,2659.0
34,TOWNHOUSE,0.03,27603,325000,2.0,-78.659645,35.732666,82675612,3.0,1295.0
35,SINGLE_FAMILY,0.16,27526,383000,3.0,-78.76697,35.612476,89495175,3.0,1589.0
36,SINGLE_FAMILY,0.27998163452709,27545,504500,4.0,-78.462326,35.745316,98376957,3.0,3082.0
37,SINGLE_FAMILY,0.73,27529,435500,3.0,-78.58959,35.611523,111377267,2.0,2194.0
38,SINGLE_FAMILY,0.82,27612,2350000,5.0,-78.697914,35.837128,119340745,6.0,5391.0
39,SINGLE_FAMILY,0.21000000000000002,27526,650000,5.0,-78.81901,35.595177,122279447,4.0,3377.0
0,LOT,0.6,27592,493500,,-78.70403,35.55616,336868134,,
1,SINGLE_FAMILY,0.13,27591,473801,2.0,-78.42296,35.75889,336869151,2.0,1888.0
2,LOT,0.28999081726354,27523,853500,,-78.93208,35.781693,336869460,,
3,SINGLE_FAMILY,1.17,27587,640000,4.0,-78.52806,35.993706,50102541,4.0,3007.0
4,SINGLE_FAMILY,0.34,27604,1082500,3.0,-78.54321,35.80759,50103150,3.0,1375.0
5,SINGLE_FAMILY,0.13,27604,380000,3.0,-78.54264,35.807205,50103151,3.0,1641.0
6,SINGLE_FAMILY,0.1,27604,310500,2.0,-78.57105,35.803055,50106732,2.0,912.0
7,SINGLE_FAMILY,0.18,27502,415000,3.0,-78.90995,35.72179,50110256,2.0,1825.0
8,SINGLE_FAMILY,0.2,27614,539900,3.0,-78.588905,35.91295,50111644,3.0,2274.0
9,SINGLE_FAMILY,0.40998622589532,27519,654000,4.0,-78.866684,35.794407,50112514,3.0,3300.0
10,SINGLE_FAMILY,0.1099862258953168,27604,254500,,-78.543526,35.81246,50115261,2.5,1224.0
11,SINGLE_FAMILY,0.9,27592,614000,4.0,-78.6591,35.581657,50115861,4.0,4174.0
12,TOWNHOUSE,0.04,27613,365000,3.0,-78.73467,35.900005,50116161,3.0,1600.0
13,SINGLE_FAMILY,0.3,27614,675000,4.0,-78.56358,35.945236,50118842,3.0,2716.0
14,SINGLE_FAMILY,0.92,27614,635000,4.0,-78.68302,35.977757,50122261,3.0,2807.0
15,SINGLE_FAMILY,0.69,27616,493800,3.0,-78.49397,35.834538,53459031,3.0,2644.0
16,TOWNHOUSE,0.04,27615,300000,2.0,-78.570854,35.89487,53459688,3.0,1389.0
17,SINGLE_FAMILY,0.61,27526,470000,4.0,-78.77072,35.6089,53462377,4.0,2817.0
18,SINGLE_FAMILY,0.36,27540,880000,4.0,-78.818436,35.66106,60393315,3.0,3267.0
19,TOWNHOUSE,0.02,27502,332500,3.0,-78.87337,35.74304,60394059,3.0,1460.0
20,TOWNHOUSE,0.081,27587,354000,3.0,-78.525024,35.99934,60399389,3.0,2111.0
21,SINGLE_FAMILY,0.82,27539,640000,4.0,-78.808846,35.691563,60533538,3.0,2617.0
22,SINGLE_FAMILY,0.39,27616,350500,4.0,-78.56616,35.839344,60536955,3.0,1728.0
23,SINGLE_FAMILY,0.65,27609,686500,4.0,-78.61833,35.856373,6382982,3.0,2503.0
24,SINGLE_FAMILY,1.0,27587,339000,3.0,-78.69801,36.05655,6408058,3.0,1694.0
25,SINGLE_FAMILY,0.28,27609,495000,3.0,-78.61649,35.86317,6416636,2.0,2258.0
26,SINGLE_FAMILY,0.21000000000000002,27610,300000,2.0,-78.60835,35.78965,6417877,1.0,1037.0
27,SINGLE_FAMILY,0.46,27609,925000,4.0,-78.62263,35.856987,6419381,4.0,3052.0
28,SINGLE_FAMILY,0.22998163452708908,27610,290000,4.0,-78.61071,35.774117,6426816,2.5,1407.0
29,SINGLE_FAMILY,0.2,27607,525000,3.0,-78.66886,35.798695,6427840,2.0,1072.0
30,LOT,3.87,27607,1600000,,-78.744675,35.804764,6427874,,
31,LOT,0.75,27609,1654320,,-78.649925,35.829597,6435250,,
32,SINGLE_FAMILY,0.16,27502,803225,4.0,-78.845474,35.727493,6436708,4.0,3162.0
33,SINGLE_FAMILY,0.29,27511,504500,3.0,-78.76786,35.786552,6442221,2.0,1463.0
34,SINGLE_FAMILY,0.91999540863177,27529,490000,4.0,-78.61777,35.6698,6443955,3.0,2378.0
35,SINGLE_FAMILY,1.6699954086318,27603,1200000,,-78.697525,35.68828,6455866,,2910.0
36,SINGLE_FAMILY,0.95998622589532,27615,615000,4.0,-78.64802,35.921265,6458486,5.0,2920.0
37,TOWNHOUSE,0.03,27609,265250,2.0,-78.60208,35.859764,6465804,2.0,1095.0
38,TOWNHOUSE,0.06999999999999999,27608,550000,2.0,-78.65777,35.81068,6470279,2.0,1426.0
