,Store Name,Street Address,City,Postcode,Longitude,Latitude
70,Teavana - Southpark Mall,"4400 Sharon Rd., Ste. G31B, Charlotte/Douglas Int'l Airport",Charlotte,28211,-80.83,35.15
71,CLT - Main C/D Side Bookstore,5501 Josh Birmingham Parkway,Charlotte,28208,-80.94,35.22
72,SuperTarget Charlotte North ST-2080,9841 Northlake Ctr Pkwy,Charlotte,28216,-80.86,35.35
73,Whitehall,8951-A SOUTH TRYON STREET,Charlotte,28273,-80.94,35.14
74,CIT - Baggage Claim,"5501 R C Josh Birmingham Pkwy, The Arbors",Charlotte,28208,-80.94,35.23
75,The Arbors,"2121 East Arbors Drive, Suite 110",Charlotte,28262,-80.76,35.34
76,Cotswold Village Shops,"4450 Randolph Rd. Ste 100, Duke Energy Center",Charlotte,28211,-80.8,35.18
77,Duke Energy Center,"135 Levine Avenue of the Arts, Suite 140",Charlotte,28202,-80.85,35.22
78,Promenade,"5361 Ballantyne Commons Pkwy, 100",Charlotte,28277,-80.77,35.06
79,CLT- Main Terminal Pre Security,5501 Josh Birmingham Pkwy,Charlotte,28208,-80.95,35.22
80,7th Street,1961 East 7th Street,Charlotte,28204,-80.82,35.21
81,Providence Road,545 Providence Rd.,Charlotte,28207,-80.82,35.2
82,East Blvd,1401 East Boulevard,Charlotte,28203,-80.84,35.2
83,Harris Teeter-S Tryon Charlotte #88,13000 S Tryon St,Charlotte,28278,-80.99,35.1
84,CIT - Mobile Truck,"5501 R C Josh Birmingham Pkwy., Host Marriott/Starbucks Coffee",Charlotte,28208,-80.95,35.23
85,CLT - Charlotte Main Term Bookstore,5501 Josh Birmingham Parkway,Charlotte,28208,-80.94,35.22
86,Harris Teeter-Charlotte/Ballantyne,15007 John J. Delaney Dr.,Charlotte,28277,-80.85,35.05
87,Harris Teeter Charlotte # 3,4821 Berewick Town Center Dr.,Charlotte,28217,-80.97,35.16
88,Olde Towne Village,"4100 Carmel Road, Suite L",Charlotte,28226,-80.82,35.12
89,Target Charlotte Far South T-2090,9870 Rea Rd,Charlotte,28277,-80.81,35.04
90,Charlotte Plaza,201 South College Street,Charlotte,28244,-80.84,35.23
91,Target Charlotte Midtown T-2244,900 Metropolitan Ave,Charlotte,28204,-80.83,35.22
92,Harris Teeter-Charlotte # 317,16625 Lancaster Hwy,Charlotte,28277,-80.85,35.02
93,Super Target Charlotte ST-2132,12830 Walker Branch Dr,Charlotte,28273,-80.99,35.1
94,N. Tryon Street & Institute Circle,"9335 North Tryon Street, 104, Northlake Mall",Charlotte,28262,-80.74,35.31
95,Teavana - Northlake Mall,"6801 Northlake Mall Dr., #238",Charlotte,28216,-80.86,35.35
96,Carowinds Amusement Park Main Gate,14523 CAROWINDS BLVD,CHARLOTTE,28273,-80.94,35.1
97,CLT Terminal E,5501 Josh Birmingham Pkwy,Charlotte,28208,-80.94,35.22
98,101 North Tyron,"101 N Tryon St, Charlotte/Douglas Int'l Airport",Charlotte,28246,-80.84,35.23
99,CLT - Charlotte C-13-,"5502 Josh Birmingham Parkway, Gateway Village",Charlotte,28208,-80.94,35.22
100,Gateway Village,"800 W Trade St, Ste 140",Charlotte,28202,-80.85,35.23
101,Harris Teeter Charlotte #30,"3333 Pineville Matthews Rd, Morehead Medical Plaza",Charlotte,28226,-80.78,35.1
102,Carolinas Medical Kiosk,1025 Morehead Medical Drive,Charlotte,28204,-80.84,35.21
103,Hwy 49 & Steelecroft Pkwy,"13129 S. Tryon St., Suite 100",Charlotte,28278,-80.99,35.1
104,Harris Teeter-Charlotte #412,"1015 Providence Rd, Host Marriott/Starbucks Coffee",Charlotte,28207,-80.83,35.2
105,"CLT - Term B-Gate 12, Gift/News","5501 Josh Birmingham Parkway, Blakeney",Charlotte,28208,-80.94,35.22
106,Blakeney,9820-A Rea Road,Charlotte,28277,-80.81,35.03
107,Wachovia Bank,"1525 W WT Harris Blvd, South Park Mall",Charlotte,28262,-80.77,35.32
108,South Park Mall,"4400 Sharron Road, C7B",Charlotte,28211,-80.83,35.15
109,Harris-Teeter-Charlotte #258,"8514 University Center Blvd, Davis Lake Commons",Charlotte,28262,-80.74,35.3
110,Davis Lake Commons,8439 Davis Lake Parkway,Charlotte,28269,-80.81,35.33
111,Morrocroft Village - HT,"6701 Morrison Blvd., Park Place Shopping Center",Charlotte,28211,-80.83,35.15
112,Carolinas Medical South,9015 Pineville-Matthews Road,Charlotte,28134,-80.87,35.09
113,CLT - Concourse D/E Connector,"5501 Josh Birmingham Parkway, Shops of Ballantyne",Charlotte,28208,-80.94,35.22
114,Ballantyne,13855 Conlan Circle,Charlotte,28277,-80.85,35.06
115,Charlotte Convention Center,"501 S College St, Grand Plaza",Charlotte,28202,-80.85,35.22
116,"Clayton, NC","13024 US Highway 70W, Suite 103",Clayton,27520,-78.5,35.67
117,Harris Teeter Clayton #229,"67 Flowers Crossroads Wy, Walgreens Development",Clayton,27527,-78.38,35.65
118,Clemmons,2785 Lewisville-Clemmons Rd,Clemmons,27012,-80.38,36.02
119,Speedway Blvd.,"7741 Gateway Lane NW, Suite 130",Concord,28027,-80.71,35.37
120,Harris Teeter-Concord #190,9900-Suite 124 Poplar Tent Rd,Concord,28027,-80.74,35.42
121,Kannapolis Parkway,6065 Bayfield Pkwy,Concord,28027,-80.68,35.42
122,"Concord, Hwy 29","1490 US Highway 29, Concord Mills",Concord,28027,-80.61,35.44
123,Concord Mills,"8111 Concord Mills Blvd, 342",Concord,28027,-80.72,35.37
124,SuperTarget Kannapolis ST-2169,6150 Bayfield Pkwy,Concord,28027,-80.7,35.43
125,Harris Teeter-Concord #68,358 George W Liles Pkwy,Concord,28027,-80.67,35.42
126,Lake Norman Blvd.,"19722 One Lake Norman Blvd, Suite 200",Cornelius,28031,-80.88,35.48
127,Harris Teeter Cornelius # 416,21720 Catawba Ave,Cornelius,28031,-80.86,35.48
128,Harris Teeter-Cornelius #179,19815 N Cove Rd,Cornelius,28031,-80.89,35.48
129,Harris Teeter-Corolla #266,6010 Currituck Clubhouse DR,Corolla,27927,-75.81,36.3
130,Western Carolina University -Center,517 Centennial Drive,Cullowhee,28723,-83.18,35.31
131,Ingles Dallas # 146,715 W Trade St.,Dallas,28034,-81.18,35.32
132,Harris Teeter-Davidson # 268,"431 Peninsula Drive, Parkwest Crossing",Davidson,28036,-80.86,35.5
133,"Parkwest Crossing, NC",4834 NC Hwy 55,Durham,27713,-78.9,35.9
134,Harris Teeter - Durham #224,1125 West North Carolina 54 Hwy,Durham,27707,-78.96,35.92
135,Kroger - Durham #332,3457 Hillsborough Road,Durham,27705,-78.95,36.02
136,Duke University Hospital,2301 Erwin Rd,Durham,27705,-78.94,36.01
137,N. Roxboro & Fairfield,4201 N Roxboro Street,Durham,27707,-78.9,36.05
138,Super Target-Durham ST-1872,"4037 Chapel Hill Blvd, Streets at Southpoint",Durham,27707,-78.96,35.97
139,Teavana - Streets at Southpoint,"6910 Fayetteville Rd., #1305, Imperial Center",Durham,27713,-78.94,35.91
140,Imperial Corners,1119 Slater Rd,Durham,27703,-78.85,35.88
141,Mount Moriah,"5319 New Hope Commons Dr, Suite 105, Renaissance at Southpoint",Durham,27707,-78.99,35.95
142,Renaissance Center at South Point,"6813 Fayetteville Road, Willowdale Shopping Center",Durham,27713,-78.94,35.9
143,Guess Road,3801 Guess Road,Durham,27705,-78.93,36.06
144,Harris Teeter-Durham #394,2107 Hillborough Rd,Durham,27705,-78.92,36.01
145,Super Target Durham SE ST-2069,8210 Renaissance Pkwy,Durham,27713,-78.95,35.9
146,Durham Chapel Hill & Tower Blvd,4010 Durham Chapel Hill Boulevard,Durham,27707,-78.96,35.97
147,Harris Teeter 172 Durham,1817 Martin Luther King Pkwy,Durham,27707,-78.96,35.96
148,Farm Fresh-Elizabeth City #469,"691 S Hughes Blvd, Cross Creek Mall",Elizabeth City,27909,-76.25,36.29
149,Cross Creek,"565 Cross Creek Mall, Suite 100",Fayetteville,28303,-78.96,35.07
150,Methodist University - Berns Studen,"5400 Ramsey St, The Shoppes at Walter Reed",Fayetteville,28311,-78.87,35.13
151,Walter Reed Road,1445 Walter Reed Road,Fayetteville,28304,-78.94,35.04
152,Target Fayetteville T-755,"2056 Skibo Rd, Ramsey Commons",Fayetteville,28314,-78.97,35.06
153,N Ramsey St,4401 N Ramsey Street,Fayetteville,28311,-78.88,35.12
154,Harris Teeter-Fayetteville #393,3050 Traemoor Village Dr,Fayetteville,28306,-79.01,34.98
155,Harris Teeter-Fayetteville #25,2800 Raeford Rd,Fayetteville,28303,-78.92,35.05
156,Ingles-Flat Rock #177,220 Highland Lake Rd,Flat Rock,28731,-82.43,35.29
157,Ingles-Fletcher #43,2901 Hendersonville Rd,Fletcher,28732,-82.51,35.44
158,Ingles Forest City - #27,765 S Church St,Forest City,28043,-81.88,35.32
159,Fort Bragg - North Post,"3571 Butner Road, Bldg 8-5476A",Fort Bragg,28310,-78.97,35.16
160,Fort Bragg - Mini Mall,Building 42171 Reilly Road,Fort Bragg,28307,-79.0,35.13
161,Fort Bragg South Post,1017 Canopy LN,Fort Bragg,28310,-79.01,35.11
162,Hwy 401 & Purfoy Rd,1380 North Main St,Fuquay-Varina,27526,-78.78,35.59
163,Target Garner T-1104,2700 Timber Dr,Garner,27529,-78.64,35.72
164,Harris Teeter-Garner #283,"Rt. 401 & Ten Ten, White Oak Cabella's",Garner,27529,-78.7,35.66
165,Hwy 70 & Jones Sausage Rd,180 Cabela Drive,Garner,27529,-78.58,35.7
166,Target Gastonia T-2565,425 Cox Rd,Gastonia,28054,-81.13,35.26
167,Harris Teeter Gastonia # 281,3350 Robinwood Dr,Gastonia,28054,-81.16,35.22
168,Cox Rd & I-85,420 Cox Road,Gastonia,28054,-81.13,35.26
169,Target Goldsboro T-964,1204 Sunburst Dr,Goldsboro,27534,-77.94,35.38
170,Wayne Memorial Dr & Hwy 70,"2116-A Wayne Memorial Dr, Berkley Mall",Goldsboro,27534,-77.96,35.4
171,Goldsboro,603 North Berkeley Blvd,Goldsboro,27534,-77.94,35.38
172,Harris Teeter Greensboro 280,4010 Battleground Ave,Greensboro,27410,-79.87,36.15
173,Friendly - HT,3330 W. Friendly Ave.,Greensboro,27410,-79.84,36.09
