,Street Address,City,Longitude,Latitude
100,"800 W Trade St, Ste 140",Charlotte,-80.85,35.23
101,"3333 Pineville Matthews Rd, Morehead Medical Plaza",Charlotte,-80.78,35.1
102,1025 Morehead Medical Drive,Charlotte,-80.84,35.21
103,"13129 S. Tryon St., Suite 100",Charlotte,-80.99,35.1
104,"1015 Providence Rd, Host Marriott/Starbucks Coffee",Charlotte,-80.83,35.2
105,"5501 Josh Birmingham Parkway, Blakeney",Charlotte,-80.94,35.22
106,9820-A Rea Road,Charlotte,-80.81,35.03
107,"1525 W WT Harris Blvd, South Park Mall",Charlotte,-80.77,35.32
108,"4400 Sharron Road, C7B",Charlotte,-80.83,35.15
109,"8514 University Center Blvd, Davis Lake Commons",Charlotte,-80.74,35.3
110,8439 Davis Lake Parkway,Charlotte,-80.81,35.33
111,"6701 Morrison Blvd., Park Place Shopping Center",Charlotte,-80.83,35.15
112,9015 Pineville-Matthews Road,Charlotte,-80.87,35.09
113,"5501 Josh Birmingham Parkway, Shops of Ballantyne",Charlotte,-80.94,35.22
114,13855 Conlan Circle,Charlotte,-80.85,35.06
115,"501 S College St, Grand Plaza",Charlotte,-80.85,35.22
116,"13024 US Highway 70W, Suite 103",Clayton,-78.5,35.67
117,"67 Flowers Crossroads Wy, Walgreens Development",Clayton,-78.38,35.65
118,2785 Lewisville-Clemmons Rd,Clemmons,-80.38,36.02
119,"7741 Gateway Lane NW, Suite 130",Concord,-80.71,35.37
120,9900-Suite 124 Poplar Tent Rd,Concord,-80.74,35.42
121,6065 Bayfield Pkwy,Concord,-80.68,35.42
122,"1490 US Highway 29, Concord Mills",Concord,-80.61,35.44
123,"8111 Concord Mills Blvd, 342",Concord,-80.72,35.37
124,6150 Bayfield Pkwy,Concord,-80.7,35.43
125,358 George W Liles Pkwy,Concord,-80.67,35.42
126,"19722 One Lake Norman Blvd, Suite 200",Cornelius,-80.88,35.48
127,21720 Catawba Ave,Cornelius,-80.86,35.48
128,19815 N Cove Rd,Cornelius,-80.89,35.48
129,6010 Currituck Clubhouse DR,Corolla,-75.81,36.3
130,517 Centennial Drive,Cullowhee,-83.18,35.31
131,715 W Trade St.,Dallas,-81.18,35.32
132,"431 Peninsula Drive, Parkwest Crossing",Davidson,-80.86,35.5
133,4834 NC Hwy 55,Durham,-78.9,35.9
134,1125 West North Carolina 54 Hwy,Durham,-78.96,35.92
135,3457 Hillsborough Road,Durham,-78.95,36.02
136,2301 Erwin Rd,Durham,-78.94,36.01
137,4201 N Roxboro Street,Durham,-78.9,36.05
138,"4037 Chapel Hill Blvd, Streets at Southpoint",Durham,-78.96,35.97
139,"6910 Fayetteville Rd., #1305, Imperial Center",Durham,-78.94,35.91
140,1119 Slater Rd,Durham,-78.85,35.88
141,"5319 New Hope Commons Dr, Suite 105, Renaissance at Southpoint",Durham,-78.99,35.95
142,"6813 Fayetteville Road, Willowdale Shopping Center",Durham,-78.94,35.9
143,3801 Guess Road,Durham,-78.93,36.06
144,2107 Hillborough Rd,Durham,-78.92,36.01
145,8210 Renaissance Pkwy,Durham,-78.95,35.9
146,4010 Durham Chapel Hill Boulevard,Durham,-78.96,35.97
147,1817 Martin Luther King Pkwy,Durham,-78.96,35.96
148,"691 S Hughes Blvd, Cross Creek Mall",Elizabeth City,-76.25,36.29
149,"565 Cross Creek Mall, Suite 100",Fayetteville,-78.96,35.07
150,"5400 Ramsey St, The Shoppes at Walter Reed",Fayetteville,-78.87,35.13
151,1445 Walter Reed Road,Fayetteville,-78.94,35.04
152,"2056 Skibo Rd, Ramsey Commons",Fayetteville,-78.97,35.06
153,4401 N Ramsey Street,Fayetteville,-78.88,35.12
154,3050 Traemoor Village Dr,Fayetteville,-79.01,34.98
155,2800 Raeford Rd,Fayetteville,-78.92,35.05
156,220 Highland Lake Rd,Flat Rock,-82.43,35.29
157,2901 Hendersonville Rd,Fletcher,-82.51,35.44
158,765 S Church St,Forest City,-81.88,35.32
159,"3571 Butner Road, Bldg 8-5476A",Fort Bragg,-78.97,35.16
160,Building 42171 Reilly Road,Fort Bragg,-79,35.13
161,1017 Canopy LN,Fort Bragg,-79.01,35.11
162,1380 North Main St,Fuquay-Varina,-78.78,35.59
163,2700 Timber Dr,Garner,-78.64,35.72
164,"Rt. 401 & Ten Ten, White Oak Cabella's",Garner,-78.7,35.66
165,180 Cabela Drive,Garner,-78.58,35.7
166,425 Cox Rd,Gastonia,-81.13,35.26
167,3350 Robinwood Dr,Gastonia,-81.16,35.22
168,420 Cox Road,Gastonia,-81.13,35.26
169,1204 Sunburst Dr,Goldsboro,-77.94,35.38
170,"2116-A Wayne Memorial Dr, Berkley Mall",Goldsboro,-77.96,35.4
171,603 North Berkeley Blvd,Goldsboro,-77.94,35.38
172,4010 Battleground Ave,Greensboro,-79.87,36.15
173,3330 W. Friendly Ave.,Greensboro,-79.84,36.09
174,4016 Battleground Ave,Greensboro,-79.87,36.15
175,"1212 Bridford Pkwy, Jefferson Village",Greensboro,-79.9,36.05
176,"1562 Highwoods Blvd, Suite C",Greensboro,-79.88,36.11
177,"1628 Highwoods Blvd, Elmsley Square Shopping Center",Greensboro,-79.88,36.11
178,"3711 Elmsley Street, Suite 108, Friendly Center",Greensboro,-79.79,36
179,"3326 W. Friendly Ave., #137, Colonial Shoppes at Quaker Shopping Cntr",Greensboro,-79.84,36.09
180,5607 W Friendly Ave,Greensboro,-79.89,36.09
181,5710 W Gate City Blvd,Greensboro,-79.9,36.02
182,401 Pisguah Church Rd,Greensboro,-79.8,36.13
183,1000 Ted Johnson Pkwy,Greensboro,-79.93,36.12
184,"701 Frances King St, Four Seasons Town Centre Mall",Greensboro,-79.89,36.09
185,"400 Four Seasons Town Centre, Space #1K5-A, Patriots Place Shopping Center",Greensboro,-79.84,36.04
186,505 Pisgah Church Road,Greensboro,-79.8,36.13
187,1000 Ted Johnson Pkwy,Greensboro,-79.93,36.12
188,1603 Battleground Avenue,Greensboro,-79.81,36.09
189,2639 Lawndale Dr,Greensboro,-79.82,36.1
190,1601 E Market St,Greensboro,-79.77,36.07
191,"E 5th Str, Stanton Square Shopping Center",Greenville,-77.37,35.61
192,"2205 W. Arlington Blvd., Suite A",Greenville,-77.41,35.61
193,100 East 10th Street,Greenville,-77.37,35.61
194,3040 EVANS ST,Greenville,-77.38,35.58
195,"1001 East 5th Street, Jones Hall on College Hill Dr.",Greenville,-77.36,35.61
196,"4100 Humber Dr, Unit 100",Greenville,-77.41,35.55
197,"100 Founders Dr, La Promenade",Greenville,-77.36,35.61
198,518-B Greenville Blvd. SE,Greenville,-77.37,35.58
199,"2120 E Firetower Rd, Suite 101",Greenville,-77.35,35.57
200,12190 University City Blvd,Harrisburg,-80.67,35.32
201,230 Highway 64 E,Hayesville,-83.8,35.03
202,1980 Asheville Hwy,Hendersonville,-82.47,35.33
