"rowcount","propertytype","lotareavalue","address","price","bedrooms","longitude","latitude","zpid","bathrooms","livingarea"
30,"TOWNHOUSE",0.02,27502,325000,3,-78.87553,35.742355,68317982,3,1452
30,"TOWNHOUSE",0.02,27502,325000,3,-78.87553,35.742355,68317982,3,1452
31,"SINGLE_FAMILY",0.69,27526,701000,3,-78.83332,35.60652,68319292,3,2637
32,"TOWNHOUSE",0.03,27617,320000,2,-78.76899,35.91498,68319712,3,1420
33,"SINGLE_FAMILY",0.7,27526,721517,4,-78.79772,35.623127,68320142,3,2719
35,"SINGLE_FAMILY",0.97,27587,950000,4,-78.558395,36.00829,68971872,5,3928
35,"SINGLE_FAMILY",0.97,27587,950000,4,-78.558395,36.00829,68971872,5,3928
37,"TOWNHOUSE",0.04,27610,290000,3,-78.545135,35.796658,71844288,3,1513
38,"SINGLE_FAMILY",8.25,27540,174000,NULL,-78.85417,35.56534,71855757,NULL,NULL
38,"SINGLE_FAMILY",8.25,27540,174000,NULL,-78.85417,35.56534,71855757,NULL,NULL
38,"SINGLE_FAMILY",8.25,27540,174000,NULL,-78.85417,35.56534,71855757,NULL,NULL
39,"LOT",0.93999081726354,27540,174500,NULL,-78.85417,35.56534,71884595,NULL,NULL
39,"LOT",0.93999081726354,27540,174500,NULL,-78.85417,35.56534,71884595,NULL,NULL
39,"LOT",0.93999081726354,27540,174500,NULL,-78.85417,35.56534,71884595,NULL,NULL
0,"SINGLE_FAMILY",0.19,27526,425000,4,-78.812775,35.628143,122282988,3,2276
2,"SINGLE_FAMILY",0.15,27610,2325,4,-78.59418,35.74222,125250200,2.5,2035
4,"CONDO",0,27612,247000,3,-78.686325,35.838703,132193912,2,1537
4,"CONDO",0,27612,247000,3,-78.686325,35.838703,132193912,2,1537
4,"CONDO",0,27612,247000,3,-78.686325,35.838703,132193912,2,1537
4,"CONDO",0,27612,247000,3,-78.686325,35.838703,132193912,2,1537
4,"CONDO",0,27612,247000,3,-78.686325,35.838703,132193912,2,1537
5,"TOWNHOUSE",0.03,27612,390000,2,-78.72511,35.867523,133201002,3,1395
5,"TOWNHOUSE",0.03,27612,390000,2,-78.72511,35.867523,133201002,3,1395
5,"TOWNHOUSE",0.03,27612,390000,2,-78.72511,35.867523,133201002,3,1395
5,"TOWNHOUSE",0.03,27612,390000,2,-78.72511,35.867523,133201002,3,1395
5,"TOWNHOUSE",0.03,27612,390000,2,-78.72511,35.867523,133201002,3,1395
6,"LOT",1.2599862258953,27610,2260000,NULL,-78.57987,35.796795,133216932,NULL,NULL
9,"SINGLE_FAMILY",0.147,27610,511855,2,NULL,NULL,2064340178,3,2086
11,"SINGLE_FAMILY",0.16999999999999998,27526,551132,4,NULL,NULL,2065512131,4,2514
12,"CONDO",0.03,27612,260000,3,NULL,NULL,2067994688,2,1441
12,"CONDO",0.03,27612,260000,3,NULL,NULL,2067994688,2,1441
12,"CONDO",0.03,27612,260000,3,NULL,NULL,2067994688,2,1441
12,"CONDO",0.03,27612,260000,3,NULL,NULL,2067994688,2,1441
12,"CONDO",0.03,27612,260000,3,NULL,NULL,2067994688,2,1441
13,"SINGLE_FAMILY",0.12,27605,861100,3,-78.64923,35.789135,215486375,5,1843
13,"SINGLE_FAMILY",0.12,27605,861100,3,-78.64923,35.789135,215486375,5,1843
14,"SINGLE_FAMILY",0.45,27526,502000,4,-78.82003,35.588165,215487715,3,1877
15,"LOT",0.25,27540,607000,NULL,-78.88155,35.65032,248756222,NULL,NULL
15,"LOT",0.25,27540,607000,NULL,-78.88155,35.65032,248756222,NULL,NULL
15,"LOT",0.25,27540,607000,NULL,-78.88155,35.65032,248756222,NULL,NULL
16,"SINGLE_FAMILY",1.22,27540,761000,4,-78.861404,35.57248,305116508,4,3110
16,"SINGLE_FAMILY",1.22,27540,761000,4,-78.861404,35.57248,305116508,4,3110
16,"SINGLE_FAMILY",1.22,27540,761000,4,-78.861404,35.57248,305116508,4,3110
17,"SINGLE_FAMILY",0.41,27513,965500,5,-78.77345,35.79444,305116813,4,3069
17,"SINGLE_FAMILY",0.41,27513,965500,5,-78.77345,35.79444,305116813,4,3069
17,"SINGLE_FAMILY",0.41,27513,965500,5,-78.77345,35.79444,305116813,4,3069
18,"SINGLE_FAMILY",0.19,27519,980000,4,-78.84411,35.765438,305124135,5,4041
18,"SINGLE_FAMILY",0.19,27519,980000,4,-78.84411,35.765438,305124135,5,4041
18,"SINGLE_FAMILY",0.19,27519,980000,4,-78.84411,35.765438,305124135,5,4041
18,"SINGLE_FAMILY",0.19,27519,980000,4,-78.84411,35.765438,305124135,5,4041
18,"SINGLE_FAMILY",0.19,27519,980000,4,-78.84411,35.765438,305124135,5,4041
18,"SINGLE_FAMILY",0.19,27519,980000,4,-78.84411,35.765438,305124135,5,4041
19,"TOWNHOUSE",0.13999999999999999,27502,531000,3,-78.9438,35.739784,305127325,3,2276
19,"TOWNHOUSE",0.13999999999999999,27502,531000,3,-78.9438,35.739784,305127325,3,2276
