,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,listingStatus,zpid,bathrooms,livingArea,lotAreaUnit
9,CONDO,1742.4,27604,262000,2.0,-78.582886,35.842186,RECENTLY_SOLD,6487490,2.0,1065.0,sqft
10,TOWNHOUSE,2613.6,27615,305000,2.0,-78.64771,35.872932,RECENTLY_SOLD,6489983,2.0,1153.0,sqft
11,SINGLE_FAMILY,6534.0,27511,430000,3.0,-78.80102,35.76664,RECENTLY_SOLD,6497766,3.0,1458.0,sqft
12,TOWNHOUSE,2613.6,27615,310000,2.0,-78.64615,35.873455,RECENTLY_SOLD,6498988,2.0,1167.0,sqft
13,TOWNHOUSE,1742.4,27502,365000,3.0,-78.831764,35.73865,RECENTLY_SOLD,6505072,3.0,1615.0,sqft
14,SINGLE_FAMILY,10454.4,27539,355000,3.0,-78.73542,35.642754,RECENTLY_SOLD,6506800,2.0,1220.0,sqft
15,SINGLE_FAMILY,8712.0,27513,593000,3.0,-78.82679,35.77276,RECENTLY_SOLD,6513073,3.0,2319.0,sqft
16,SINGLE_FAMILY,1.89,27587,725000,4.0,-78.56259,35.977215,RECENTLY_SOLD,6514454,5.0,3528.0,acres
17,SINGLE_FAMILY,7840.8,27613,425000,3.0,-78.746056,35.93021,RECENTLY_SOLD,6520595,3.0,1573.0,sqft
18,SINGLE_FAMILY,0.56,27615,1010000,5.0,-78.63151,35.898766,RECENTLY_SOLD,6525457,5.0,4511.0,acres
19,SINGLE_FAMILY,0.33,27540,775000,4.0,-78.78553,35.658554,RECENTLY_SOLD,65335878,4.0,3060.0,acres
20,SINGLE_FAMILY,0.88,27526,599900,3.0,-78.8305,35.604584,RECENTLY_SOLD,65338867,3.0,2217.0,acres
21,SINGLE_FAMILY,0.54,27587,600000,4.0,-78.522575,35.913113,RECENTLY_SOLD,6549100,3.0,2454.0,acres
22,SINGLE_FAMILY,0.25,27603,500000,4.0,-78.66954,35.741707,RECENTLY_SOLD,6555094,3.0,2037.0,acres
23,SINGLE_FAMILY,0.54,27617,1319000,6.0,-78.801315,35.91583,RECENTLY_SOLD,67554648,7.0,6481.0,acres
24,TOWNHOUSE,3920.4,27617,490000,4.0,-78.73599,35.91646,RECENTLY_SOLD,67557232,3.0,2043.0,sqft
25,SINGLE_FAMILY,5662.8,27616,380000,4.0,-78.50725,35.89262,RECENTLY_SOLD,67558120,3.0,1998.0,sqft
26,SINGLE_FAMILY,0.7,27592,380000,3.0,-78.68457,35.591465,RECENTLY_SOLD,68317447,3.0,1689.0,acres
27,APARTMENT,3920.0,27526,1795,2.0,-78.797195,35.576813,RECENTLY_SOLD,69567152,1.5,1149.0,sqft
28,SINGLE_FAMILY,0.49,27540,437000,3.0,-78.822014,35.64515,RECENTLY_SOLD,71842673,3.0,1961.0,acres
29,TOWNHOUSE,1742.4,27519,500000,3.0,-78.903465,35.81805,RECENTLY_SOLD,79883528,4.0,1895.0,sqft
30,SINGLE_FAMILY,0.28,27539,750000,4.0,-78.75921,35.65545,RECENTLY_SOLD,81435502,4.0,3130.0,acres
31,TOWNHOUSE,1306.8,27519,417000,3.0,-78.90382,35.81828,RECENTLY_SOLD,81436576,3.0,1900.0,sqft
32,TOWNHOUSE,0.4,27519,425000,3.0,-78.91384,35.8255,RECENTLY_SOLD,83955919,3.0,1737.0,acres
33,SINGLE_FAMILY,0.71,27529,464900,3.0,-78.53602,35.65412,RECENTLY_SOLD,88951385,3.0,2584.0,acres
34,TOWNHOUSE,1306.8,27519,395000,3.0,-78.89701,35.82648,RECENTLY_SOLD,89500295,4.0,1860.0,sqft
35,SINGLE_FAMILY,6098.4,27616,380000,2.0,-78.51096,35.897945,RECENTLY_SOLD,111573611,2.0,1845.0,sqft
36,TOWNHOUSE,5227.2,27587,430000,3.0,-78.49348,35.96533,RECENTLY_SOLD,114204799,3.0,1967.0,sqft
37,SINGLE_FAMILY,5662.8,27616,440000,4.0,-78.51711,35.86713,RECENTLY_SOLD,114314886,3.0,2440.0,sqft
38,SINGLE_FAMILY,7405.0,27526,2345,3.0,-78.77093,35.58796,RECENTLY_SOLD,116230574,2.5,2117.0,sqft
39,TOWNHOUSE,435.6,27610,292000,3.0,-78.54464,35.77586,RECENTLY_SOLD,119340802,3.0,1692.0,sqft
0,SINGLE_FAMILY,5227.2,27610,367900,3.0,-78.61701,35.733177,RECENTLY_SOLD,102755376,3.0,1679.0,sqft
1,TOWNHOUSE,3484.8,27519,470000,3.0,-78.90013,35.8045,RECENTLY_SOLD,122060381,3.0,1909.0,sqft
2,SINGLE_FAMILY,6534.0,27502,679000,4.0,-78.9036,35.733814,PENDING,122060746,3.0,2900.0,sqft
3,SINGLE_FAMILY,1.7,27526,1150000,4.0,-78.780396,35.64107,RECENTLY_SOLD,122282448,4.0,4058.0,acres
4,SINGLE_FAMILY,8929.8,27591,535000,3.0,-78.41908,35.768047,RECENTLY_SOLD,125165793,3.0,2544.0,sqft
5,CONDO,0.0,27617,385000,3.0,-78.79734,35.898945,RECENTLY_SOLD,132151769,3.0,1972.0,sqft
6,CONDO,0.0,27615,301000,2.0,-78.65041,35.891296,RECENTLY_SOLD,132228607,2.0,1280.0,sqft
7,CONDO,0.0,27609,290000,2.0,-78.605896,35.85138,RECENTLY_SOLD,132251074,2.0,1021.0,sqft
8,SINGLE_FAMILY,0.39,27529,490000,4.0,-78.580315,35.670673,RECENTLY_SOLD,133206470,3.0,2455.0,acres
9,SINGLE_FAMILY,6534.0,27610,460000,4.0,-78.58639,35.751366,RECENTLY_SOLD,133216025,3.0,2549.0,sqft
10,SINGLE_FAMILY,8276.4,27540,520300,5.0,-78.83127,35.654118,RECENTLY_SOLD,133699034,3.0,2657.0,sqft
11,TOWNHOUSE,1742.4,27587,391288,3.0,-78.48974,35.9787,RECENTLY_SOLD,133705556,3.0,1634.0,sqft
12,SINGLE_FAMILY,0.453,27587,900000,5.0,,,RECENTLY_SOLD,2062789206,4.0,4496.0,acres
13,CONDO,0.0,27518,293000,3.0,,,RECENTLY_SOLD,2063074602,2.0,1325.0,sqft
14,SINGLE_FAMILY,8015.04,27529,542000,4.0,,,RECENTLY_SOLD,2064233045,3.0,2417.0,sqft
15,CONDO,0.0,27511,224921,2.0,-78.79274,35.75751,RECENTLY_SOLD,2079468496,1.0,729.0,sqft
16,SINGLE_FAMILY,6534.0,27603,530000,4.0,,,RECENTLY_SOLD,2090244978,3.0,2707.0,sqft
17,TOWNHOUSE,0.0,27606,395000,3.0,-78.73137,35.748116,RECENTLY_SOLD,215486016,3.0,2039.0,sqft
18,SINGLE_FAMILY,0.25,27502,905000,4.0,-78.921524,35.708138,RECENTLY_SOLD,248747620,4.0,3135.0,acres
19,SINGLE_FAMILY,5227.2,27591,500000,3.0,-78.427765,35.76075,RECENTLY_SOLD,248754407,3.0,2375.0,sqft
20,TOWNHOUSE,1306.8,27511,1099310,3.0,-78.779205,35.78522,RECENTLY_SOLD,331656744,4.0,2471.0,sqft
21,SINGLE_FAMILY,7753.68,27610,590000,3.0,-78.548035,35.698895,RECENTLY_SOLD,336865616,3.0,2742.0,sqft
22,LOT,10018.0,27612,950124,,-78.71969,35.83138,RECENTLY_SOLD,336867486,,,sqft
23,CONDO,0.0,27617,490000,2.0,-78.79531,35.899715,RECENTLY_SOLD,336868062,2.0,1734.0,sqft
24,SINGLE_FAMILY,0.34,27529,500000,4.0,-78.61647,35.653008,RECENTLY_SOLD,50120821,3.0,3115.0,acres
25,SINGLE_FAMILY,0.46,27603,334200,3.0,-78.6621,35.634064,RECENTLY_SOLD,53457969,2.0,1369.0,acres
26,SINGLE_FAMILY,0.69,27603,440000,4.0,-78.65046,35.64561,RECENTLY_SOLD,60396561,3.0,2491.0,acres
27,SINGLE_FAMILY,0.72,27587,665000,3.0,-78.54815,36.02089,RECENTLY_SOLD,60399282,3.0,2859.0,acres
28,TOWNHOUSE,2178.0,27614,305000,3.0,-78.56809,35.921425,RECENTLY_SOLD,60537327,3.0,1509.0,sqft
29,TOWNHOUSE,1742.4,27604,209000,2.0,-78.54144,35.81363,RECENTLY_SOLD,62038343,2.0,918.0,sqft
30,SINGLE_FAMILY,0.65,27612,739000,4.0,-78.66999,35.875107,RECENTLY_SOLD,6382246,3.0,3411.0,acres
31,SINGLE_FAMILY,0.94,27604,594450,4.0,-78.55879,35.828213,RECENTLY_SOLD,6391515,3.0,3835.0,acres
32,SINGLE_FAMILY,1.06,27592,237500,3.0,-78.70883,35.558064,RECENTLY_SOLD,6392733,3.0,2393.0,acres
33,SINGLE_FAMILY,0.7,27529,335000,3.0,-78.623566,35.725372,RECENTLY_SOLD,6394553,2.0,1206.0,acres
34,SINGLE_FAMILY,1.06,27615,900000,4.0,-78.64864,35.918125,RECENTLY_SOLD,6396232,5.0,3837.0,acres
35,LOT,0.58,27591,59000,,-78.45669,35.868195,RECENTLY_SOLD,6404051,,,acres
36,SINGLE_FAMILY,0.55,27607,1700000,5.0,-78.67266,35.813557,RECENTLY_SOLD,6404741,5.0,4551.0,acres
37,SINGLE_FAMILY,0.42,27529,320000,3.0,-78.62115,35.703003,RECENTLY_SOLD,6406651,2.0,1557.0,acres
38,SINGLE_FAMILY,0.45,27615,2737500,4.0,-78.61613,35.874184,RECENTLY_SOLD,6417512,5.0,5975.0,acres
39,SINGLE_FAMILY,0.35,27511,410000,4.0,-78.80602,35.765884,RECENTLY_SOLD,6436391,2.0,2008.0,acres
0,SINGLE_FAMILY,0.41,27540,1625000,6.0,-78.87195,35.665863,RECENTLY_SOLD,122075091,6.0,5356.0,acres
1,CONDO,0.0,27612,275000,2.0,-78.71629,35.835453,RECENTLY_SOLD,132171583,2.0,1063.0,sqft
2,TOWNHOUSE,0.0,27609,317000,2.0,-78.63442,35.830986,RECENTLY_SOLD,132222436,2.0,1120.0,sqft
3,SINGLE_FAMILY,7840.8,27616,505000,4.0,-78.512024,35.83769,RECENTLY_SOLD,215484338,3.0,2674.0,sqft
4,SINGLE_FAMILY,0.29,27539,756470,4.0,-78.8185,35.674004,RECENTLY_SOLD,248741753,3.0,2990.0,acres
5,SINGLE_FAMILY,7840.8,27587,635000,5.0,-78.51681,35.957382,RECENTLY_SOLD,248753189,5.0,3208.0,sqft
6,SINGLE_FAMILY,6534.0,27502,615000,3.0,-78.94407,35.735893,RECENTLY_SOLD,331648955,3.0,2160.0,sqft
7,TOWNHOUSE,1306.8,27511,1300000,3.0,-78.77912,35.78522,RECENTLY_SOLD,331657087,4.0,2471.0,sqft
8,SINGLE_FAMILY,10454.4,27502,550000,4.0,-78.90827,35.73458,RECENTLY_SOLD,50118534,3.0,2325.0,sqft
9,SINGLE_FAMILY,1.08,27603,462000,3.0,-78.69256,35.64936,RECENTLY_SOLD,53460676,3.0,1540.0,acres
10,SINGLE_FAMILY,5227.2,27601,1160000,3.0,-78.63027,35.78334,RECENTLY_SOLD,6401045,3.0,2456.0,sqft
11,SINGLE_FAMILY,0.3,27511,1250000,4.0,-78.7896,35.785656,PENDING,6405219,4.0,3566.0,acres
12,SINGLE_FAMILY,0.33,27608,736842,3.0,-78.63664,35.812317,RECENTLY_SOLD,6429732,3.0,2201.0,acres
13,SINGLE_FAMILY,0.3,27513,435000,4.0,-78.7827,35.798103,RECENTLY_SOLD,6442438,3.0,2067.0,acres
14,SINGLE_FAMILY,1.36,27615,860000,4.0,-78.67654,35.90884,RECENTLY_SOLD,6451530,3.0,3153.0,acres
15,TOWNHOUSE,871.2,27612,265000,2.0,-78.664856,35.85637,RECENTLY_SOLD,6458696,2.0,1400.0,sqft
16,TOWNHOUSE,1306.0,27612,275000,2.0,-78.71031,35.852673,PENDING,6491813,3.0,1271.0,sqft
17,SINGLE_FAMILY,0.29,27545,350000,3.0,-78.48546,35.788887,RECENTLY_SOLD,6492316,3.0,1321.0,acres
18,SINGLE_FAMILY,0.72998163452709,27526,400000,3.0,-78.75257,35.63166,PENDING,6494275,3.0,1834.0,acres
19,TOWNHOUSE,1306.8,27612,305000,2.0,-78.71758,35.836277,RECENTLY_SOLD,6504799,3.0,1224.0,sqft
